"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"6","Tejares del Sur","Polideportivo","Cra 33 Calle 27 Sur","https://goo.gl/maps/HqkEhii3XFMQs8cBA"
"6","Oasis 1 etapa","Cancha de minifútbol","Cll 24 Sur Cra. 36 A","https://goo.gl/maps/KY5wjV3ANcoMM6397"
"6","Oasis 2 etapa","Cancha de minifútbol","Cll 24 Sur Cra. 35","https://goo.gl/maps/pE9gs8A23g28BnTq5"
"6","Oasis 3 etapa","Cancha de minifútbol","Cra 35 calle 28 A sur","https://goo.gl/maps/WUTmaVj9R7Q39XD99"
"6","Cuarto Centenario","Polideportivo","TORRES","https://goo.gl/maps/QwgGpVaEEYbUdLpm8"
"6","Cuarto Centenario","Polideportivo","Parque Principal","https://goo.gl/maps/uBLDTwqYZnb9wduN9"
"6","Cuarto Centenario","Polideportivo","Sector Maria Paula","https://goo.gl/maps/fVXG8Vh9qRyjfBTB8"
"6","IV centenario","Polideportivo","Agrupación D","https://goo.gl/maps/GSDPtHcQD5PMGGQ56"
"6","IV centenario","Polideportivo","Agrupación F","https://goo.gl/maps/FYqZbwT9A9TVLdnm8"
"6","Las Margaritas","Polideportivo","Calle 45 A Bis Sur Cra 35","https://goo.gl/maps/MkWEam4wrPozfVd1A"
"6","Las Margaritas","Cancha de minifútbol","Calle 45 A Bis Sur Cra 34","https://goo.gl/maps/1NggWsssddC35agL6"
"6","Andalucía 1 Etapa","Polideportivo","Cra 11 Diag. 3 Sur","https://goo.gl/maps/cwKNDzAU3oiSoK4J8"
"6","fronteras de milenio","Cancha Sinteticas de Minifútbol","comuna 6","s/d"
"6","Andalucía IV Etapa","PARQUES BIOSALUDABLES","Carrera 9 Calle 15 Sur","s/d"
"6","Cuarto Centenario","PARQUES BIOSALUDABLES","Carrera 37 Calle 29 Asur","s/d"
"6","Inés García de Durán 2 kit","PARQUES BIOSALUDABLES","Avenida Inés García de Durán","s/d"
"6","Inés García de Durán 2 kit","PARQUES BIOSALUDABLES","Calle 10 Sur","s/d"
"6","La Esperanza","PARQUES BIOSALUDABLES","Carrera 20 A Calle 16 Sur Esquina","s/d"
"6","Puertas del Sol","PARQUES BIOSALUDABLES","Carrera 33","s/d"
"6","San jorge 1","PARQUES BIOSALUDABLES","Cancha de arena","s/d"
"6","Parque Biblioteca Mirador del Sur 2 kit","PARQUES BIOSALUDABLES","Carrera calle 18 B Sur","s/d"
"6","Timanco I Etapa","PARQUES BIOSALUDABLES","Carrera 27 A Calle 17 A","s/d"
"6","Bella Vista","PARQUES BIBLIOTECA","Parque Biblioteca Mirador del Sur","s/d"
"6","Los Nazarenos","PARQUE INFANTILES","s/d","s/d"
"6","Andalucía IV etapa","PARQUE INFANTILES","s/d","s/d"
"6","Puertas del Sol.","PARQUE INFANTILES","Zona verde - Avenida Max","s/d"
"6","Parque Timanco","PARQUE INFANTILES","Zona verde carrera 21 – calle 18 sur","s/d"
"6","San Luis de la Paz.","PARQUE INFANTILES","Parque Comunal","s/d"
"6","Alto Limonar","PARQUE INFANTILES","carrera 36 con calle 19 A y 20","s/d"
"6","Mirador del sur","PARQUE INFANTILES","s/d","s/d"
"6","Limonar parte baja","PARQUE INFANTILES","Calle 20 Carrera 37 sur","s/d"
"6","Limonar parte baja","Sinteticas de Minifutbol","Calle 8 Carrera 28","https://goo.gl/maps/hn26ygdAbZzUUwUE8"
"7","Calixto Leyva","Polideportivo","Cra 16 Calle 6","https://goo.gl/maps/YBXCsMPA2nYrcAiU6"
"7","Calixto Leyva","Cancha Baloncesto (Pequeño)","Cra 16 Calle 6","https://goo.gl/maps/EaRnhMK3oVEBcQVH9"
"7","Calixto Leyva","Polideportivo (Mercado)","Cra 19 Calle 5 A","https://goo.gl/maps/7kNh4UPg8NUzdk3DA"
"7","El Obrero","Polideportivo","Calle 4 b Carrera 16","https://goo.gl/maps/K2wSwB36PWXtZSwm8"
"7","Ipanema","Polideportivo","Cra 38 Calle 8 C","https://goo.gl/maps/g9wVfAEr881VEGH78"
"7","Calixto Leiva (Mercado Campesino)","PARQUES BIOSALUDABLES","Carrera 19 Calle 5 A-25","s/d"
"7","Las Brisas","PARQUES BIOSALUDABLES","Calle 8 Carrera 28","s/d"
"7","Ipanema","PARQUE INFANTILES","Polideportivo Barrio Ipanema","s/d"
"7","Las brisas","PARQUE INFANTILES","Cancha sintetica de las brisas","s/d"
"8","Acacias 3 etapa","Polideportivo","Cra 30 B Calle 1 B","https://goo.gl/maps/8W9U9EV5gHAbiSwr6"
"8","Alfonso Lopez","Polideportivo","Cll 2A Entre Cra 26","https://goo.gl/maps/srgefN6w1UcX7ZyAA"
"8","San Carlos","Polideportivo","Cra 33 B Calle 3","https://goo.gl/maps/uj4tuibrFsC7yXP19"
"8","Panorama","Polideportivo","Cra. 30f #1-70","https://goo.gl/maps/pwvBdFDYY2JvrtJK9"
"8","Los Alpes","Polideportivo","Detrás del CAI","https://goo.gl/maps/uRZ4PWSRh9qL3JT58"
"8","Las Americas","Polideportivo","Cra 27 Calle 2","https://goo.gl/maps/1UUHadnedg3dL3gVA"
"8","Los Parques","Polideportivo","Cra 32 Calle 3","https://goo.gl/maps/2Y22epBefuoUaPoT6"
"8","La Florida","Polideportivo","Cra 30 B Calle 2 C","https://goo.gl/maps/Sk6EvKJwvoyr4MVo7"
"8","Las Acacias","PARQUES BIOSALUDABLES","Calle 1 Bis Carrera 23","s/d"
"8","Los Parques","PARQUES BIOSALUDABLES","Carrera 20 Calle 2 E","s/d"
"8","San Martín","PARQUES BIOSALUDABLES","Carrera 22 Calle 1 G","s/d"
"8","Rafael Uribe","PARQUES BIOSALUDABLES","Carrera 28 A calle 3","s/d"
"8","Las Acacias","PARQUES BIBLIOTECA","Parque Biblioteca  Peñó Redondo","s/d"
"8","Las Américas","PARQUE INFANTILES","Calle 2C Carrera 27 A -02","s/d"
"8","Barrio Panorama","PARQUE INFANTILES","Calle 1 C con Carrera 30 E","s/d"
"8","San Martín","PARQUE INFANTILES","s/d","s/d"
"9","Tercer Milenio","Cancha MicroFútbol","Cra 3a Calle 73b","https://goo.gl/maps/u6CHtZcYo8xWfz7w7"
"9","Virgilio Barco","Polideportivo","Cra 4 y 5 Calle 74 D","https://goo.gl/maps/X5u6HCpCNgdKexT38"
"9","Virgilio Barco","Cancha de minifutbol","Cra 4 y 5 Calle 74 D","https://goo.gl/maps/XsjzN711Y75swFRg7"
"9","El progreso","Polideportivo","Cll 76 B # 1 D - 03","https://goo.gl/maps/QtVvf4TdVNB1ft2T6"
